Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
EXE18_P5_NOVA	24/12/19	30/1/20	10/02/20	13	3F	201101	EXE18_P5_NOVA	201101	EXE18_P5_NOVA
EXE18_P6	12/24/2019	1/30/2020	2/10/2020	14	4F	200301	EXE18_P6	200301	EXE18_P6
EXE18_P8	12/24/2019	1/30/2020	2/10/2020	16	4F	200301	EXE18_P8	200301	EXE18_P8
EXE18_P9	12/24/2019	1/30/2020	2/9/2020	5	4B	200301	EXE18_P9	200301	EXE18_P9
exe19_p1	12/24/2019	2/11/2020	2/17/2020	1	4C	200301	exe19_p1	200301	exe19_p1
exe19_p10	12/24/2019	11/02/2020	3/1/2020	2	4F	200630|200719	exe19_p10	200630|200719	exe19_p10
exe19_p2	12/24/2019	2/11/2020	2/17/2020	2	4C	200301	exe19_p2	200301	exe19_p2
exe19_p3	12/24/2019	2/11/2020	2/17/2020	3	4C	200301	exe19_p3	200301	exe19_p3
exe19_p4	12/24/2019	2/11/2020	2/17/2020	4	4C	200301	exe19_p4	200301	exe19_p4
exe19_p5	12/24/2019	2/11/2020	2/17/2020	5	4D	200301	exe19_p5	200301	exe19_p5
exe19_p6	12/24/2019	2/11/2020	2/17/2020	6	4D	200301	exe19_p6	200301	exe19_p6
exe19_p8	12/24/2019	2/11/2020	2/17/2020	8	4D	200301	exe19_p8	200301	exe19_p8
exe19_p9	12/24/2019	11/02/2020	3/1/2020	1	4F	200630|200719	exe19_p9	200630|200719	exe19_p9
EXE2_e3_E7.5_2	10/12/2019	10/24/2019	12/2/2019	10	4G	191215	EXE2_e3_E7.5_2	191215	EXE2_e3_E7.5_2
EXE2_e4_E7.5_3	10/12/2019	10/24/2019	12/2/2019	4	4E	191215	EXE2_e4_E7.5_3	191215	EXE2_e4_E7.5_3
EXE2_e5_E7.5_4	10/12/2019	10/24/2019	12/2/2019	8	4F	191215	EXE2_e5_E7.5_4	191215	EXE2_e5_E7.5_4
exe21_p1	1/27/2020	2/25/2020	3/4/2020	9	4G	200531|200630	exe21_p1	200531|200630	exe21_p1
exe21_p2	1/27/2020	2/25/2020	3/4/2020	10	4G	200531|200630	exe21_p2	200531|200630	exe21_p2
exe21_p3	1/27/2020	2/25/2020	3/4/2020	11	4G	200630|200719	exe21_p3	200630|200719	exe21_p3
exe21_p4	1/27/2020	2/25/2020	3/4/2020	12	4G	200630|200719	exe21_p4	200630|200719	exe21_p4
exe21_p5	1/27/2020	2/25/2020	3/4/2020	13	4H	200531|200630	exe21_p5	200531|200630	exe21_p5
EXE22_p1_placenta_e1	23/02/20	26/03/20	05/08/20	6	3F	200910	EXE22_p1_placenta_e1	200910	EXE22_p1_placenta_e1
EXE22_p10_e4b_placenta_e5	18/03/20	26/03/20	06/08/20	15	4G	200910	EXE22_p10_e4b_placenta_e5	200910	EXE22_p10_e4b_placenta_e5
EXE22_p2_e1	23/02/20	26/03/20	05/08/20	7	3G	200910	EXE22_p2_e1	200910	EXE22_p2_e1
EXE22_p4_e2_placenta_e2	18/03/20	26/03/20	06/08/20	9	4A	200910	EXE22_p4_e2_placenta_e2	200910	EXE22_p4_e2_placenta_e2
EXE22_p5_e2b_placenta_e3	18/03/20	26/03/20	06/08/20	10	4B	200910	EXE22_p5_e2b_placenta_e3	200910	EXE22_p5_e2b_placenta_e3
EXE22_p6_e3	18/03/20	26/03/20	06/08/20	11	4C	200910	EXE22_p6_e3	200910	EXE22_p6_e3
EXE22_p7_e3b	18/03/20	26/03/20	06/08/20	12	4D	200910	EXE22_p7_e3b	200910	EXE22_p7_e3b
EXE22_p8_e3c	18/03/20	26/03/20	06/08/20	13	4E	200910	EXE22_p8_e3c	200910	EXE22_p8_e3c
EXE22_p9_e4	18/03/20	26/03/20	06/08/20	14	4F	200910	EXE22_p9_e4	200910	EXE22_p9_e4
EXE23_P1	17/03/20	18/05/20	16/08/20	5	5E	200910	EXE23_P1	200910	EXE23_P1
EXE23_P10	10/05/20	18/05/20	17/08/20	13	6E	200910	EXE23_P10	200910	EXE23_P10
EXE23_P11	10/05/20	18/05/20	17/08/20	14	6F	200910	EXE23_P11	200910	EXE23_P11
EXE23_P12	10/05/20	18/05/20	17/08/20	15	6G	200910	EXE23_P12	200910	EXE23_P12
EXE23_P13	10/05/20	18/05/20	17/08/20	16	6H	200910	EXE23_P13	200910	EXE23_P13
EXE23_P2	17/03/20	18/05/20	16/08/20	6	5F	200910	EXE23_P2	200910	EXE23_P2
EXE23_P3	17/03/20	18/05/20	16/08/20	7	5G	200910	EXE23_P3	200910	EXE23_P3
EXE23_P4	17/03/20	18/05/20	16/08/20	8	5H	200910	EXE23_P4	200910	EXE23_P4
EXE23_P5	17/03/20	18/05/20	17/08/20	9	12H	200910	EXE23_P5	200910	EXE23_P5
EXE23_P6	17/03/20	18/05/20	06/08/20	16	4H	200910	EXE23_P6	200910	EXE23_P6
EXE23_P7	10/05/20	18/05/20	17/08/20	10	6B	200910	EXE23_P7	200910	EXE23_P7
EXE23_P8	10/05/20	18/05/20	17/08/20	11	6C	200910	EXE23_P8	200910	EXE23_P8
EXE23_P9	10/05/20	18/05/20	17/08/20	12	6D	200910	EXE23_P9	200910	EXE23_P9
